time,low,high,open,close,volume,change,pct_change,SMA_20,SMA_50,EMA_20,EMA_50,RSI,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_STD,BB_Upper,BB_Lower,Volume_MA_20,OBV,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,title,date,link,text,sentiment,score,avg_sentiment
2025-06-10,108362.14,110420.08,110299.69,110300.24,5433.6716937,0.5500000000029104,0.0004986414739723,0.0,0.0,110300.24,110300.24,0.0,110300.24,110300.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,
2025-06-11,108091.74,110435.05,110300.25,108669.37,4603.3324446,-1630.8800000000049,-1.4785823241561145,0.0,0.0,110144.91904761906,110236.2843137255,0.0,110049.33692307692,110179.4348148148,-130.09789173788158,-26.019578347576317,-104.07831339030528,0.0,0.0,0.0,0.0,0.0,-4603.3324446,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,
2025-06-12,105706.78,108853.74,108673.77,105721.05,5734.67136139,-2952.720000000001,-2.717049385514095,0.0,0.0,109723.59818594104,110059.21630142254,0.0,109383.44662721896,109849.1840877915,-465.737460572549,-113.96315479257088,-351.77430577997814,0.0,0.0,0.0,0.0,0.0,-10338.00380599,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,
2025-06-13,102746.01,106233.0,105716.45,106118.7,7441.52465913,402.25,0.380498966811693,0.0,0.0,109380.27454918476,109904.68625038637,0.0,108881.17791533913,109572.85193314028,-691.6740178011678,-229.50532739429025,-462.16869040687754,0.0,0.0,0.0,0.0,0.0,-2896.4791468599997,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,
2025-06-14,104351.72,106264.36,106114.53,105465.42,2256.48702523,-649.1100000000006,-0.6117069924354379,0.0,0.0,109007.4312587862,109730.5973778222,0.0,108355.67669759464,109268.59771587062,-912.9210182759851,-366.18846557062926,-546.732552705356,0.0,0.0,0.0,0.0,0.0,-5152.96617209,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,
2025-06-15,104505.05,106184.13,105465.42,105599.25,1722.80945227,133.83000000000175,0.126894673154482,0.0,0.0,108682.84256747324,109568.5837551625,0.0,107931.61105181085,108996.79418136168,-1065.1831295508457,-505.98739836667255,-559.1957311841729,0.0,0.0,0.0,0.0,0.0,-3430.15671982,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,
2025-06-16,104982.26,109000.0,105600.21,106853.38,5952.98369341,1253.1699999999985,1.1867116552135628,0.0,0.0,108508.60803723767,109462.10517652868,0.0,107765.72935153224,108838.02276052008,-1072.29340898784,-619.248600490906,-453.0448084969339,0.0,0.0,0.0,0.0,0.0,2522.8269735900003,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,
2025-06-17,103363.3,107792.9,106853.38,104590.44,7688.94642443,-2262.9400000000023,-2.1177991749067764,0.0,0.0,108135.44917654838,109271.05948333148,0.0,107277.22329745036,108523.38700048155,-1246.1637030311977,-744.6316209989644,-501.5320820322332,0.0,0.0,0.0,0.0,0.0,-5166.119450839999,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,
2025-06-18,103512.38,105603.63,104590.44,104915.6,4918.14382744,325.1600000000035,0.3108888345818255,0.0,0.0,107828.79687401996,109100.2571506518,0.0,106913.89663630415,108256.1435189644,-1342.2468826602562,-864.1546733312229,-478.0922093290334,0.0,0.0,0.0,0.0,0.0,-247.97562339999968,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,
2025-06-19,103916.37,105266.61,104915.6,104671.9,2279.05842007,-243.70000000001164,-0.2322819485376928,0.0,0.0,107528.1400288752,108926.59608592038,0.0,106568.97407687276,107990.64399904112,-1421.6699221683666,-975.6577230986516,-446.01219906971494,0.0,0.0,0.0,0.0,0.0,-2527.0340434699997,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,
